,V11-force,V12-force,V13-force,V14-force,V15-force,V16-force,V17-force,V18-force,V19-force,V20-force,V21-force,V22-force,V23-force,V24-force,V25-force,V26-force,V27-force
71,0.0,0.03699015,5.75638e-15,0.808654,1.42008e-14,0.13199,8.16194e-16,0.894518,4.54802e-15,0.310526,0.5907045,0.288954,0.509451,0.2899,1.29609,0.311474,0.324136
72,0.0,0.0377315,9.64023e-15,0.854105,2.88843e-15,0.164706,2.80277e-15,0.942537,3.28085e-15,0.314839,0.616068,0.293777,0.545884,0.295043,1.33347,0.314532,0.327264
73,0.0,0.0370055,6.64854e-15,0.900295,5.42324e-15,0.19294050000000001,1.9086e-14,0.965701,4.04566e-17,0.317803,0.634029,0.298298,0.602104,0.299826,1.37103,0.316696,0.32957749999999997
74,0.0,0.037821,3.17076e-15,0.930561,1.37329e-14,0.208398,5.39376e-15,1.01192,4.86071e-15,0.318923,0.650037,0.302239,0.656361,0.303908,1.41039,0.3181,0.333419
75,0.0,0.0371641,8.18958e-15,0.965144,1.41314e-14,0.244416,1.20018e-14,1.0624099999999999,1.47227e-14,0.319663,0.670425,0.305449,0.70821,0.307107,1.47068,0.318984,0.336404
76,0.0,0.0364948,8.62719e-15,0.997578,3.87674e-15,0.254379,1.21708e-14,1.12652,7.44556e-15,0.3203915,0.689823,0.3087395,0.768251,0.309441,1.53226,0.319531,0.33676
77,0.0,0.0381459,3.83139e-15,1.02995,1.572275e-14,0.268185,5.15078e-15,1.156,1.54785e-14,0.321051,0.705205,0.310595,0.814079,0.310908,1.57482,0.32026699999999997,0.337755
78,0.0,0.0361675,1.90054e-15,1.06624,8.33605e-15,0.278578,3.1461e-15,1.20983,1.25498e-14,0.321698,0.718053,0.311138,0.829033,0.311667,1.62364,0.321667,0.336335
79,0.0,0.0368141,6.57381e-16,1.10273,8.29509e-15,0.265369,1.74339e-14,1.23652,4.76337e-15,0.3229,0.732208,0.311516,0.834474,0.3121,1.66987,0.323645,0.335485
80,0.0,0.036368849999999994,5.73889e-15,1.1549399999999999,2.51901e-14,0.281746,1.57245e-14,1.28961,1.8665e-14,0.326171,0.7471945,0.311945,0.841103,0.312527,1.71538,0.326619,0.33562749999999997
81,0.0,0.0366267,7.29398e-15,1.20916,1.2982185e-14,0.304222,9.60782e-15,1.32982,9.77858e-15,0.330821,0.762117,0.312641,0.829326,0.313219,1.76414,0.330586,0.337466
82,0.0,0.0352092,2.06154e-15,1.24427,1.26146e-15,0.294522,2.71964e-16,1.398655,2.92244e-15,0.334803,0.771289,0.313829,0.815778,0.314439,1.8364699999999998,0.335333,0.339258
83,0.0,0.043226,2.44568e-15,1.28523,1.1197e-14,0.31019949999999996,9.3883e-15,1.46157,5.72704e-15,0.34134200000000003,0.779321,0.3169375,0.790661,0.316361,1.91123,0.340372,0.3433745
84,0.0,0.0469847,4.8148949999999995e-15,1.32304,4.091e-15,0.333033,2.75111e-15,1.52332,2.73678e-15,0.347636,0.787599,0.321493,0.779892,0.32086400000000004,1.9626,0.345292,0.346949
85,0.0,0.060796,8.76511e-15,1.36758,1.2247320000000001e-14,0.313761,7.34877e-15,1.56087,1.1677e-14,0.351625,0.796684,0.325428,0.769412,0.326903,2.01173,0.349959,0.351659
86,0.0,0.0620809,1.04289e-15,1.40429,6.15722e-16,0.32741549999999997,6.66058e-15,1.61923,8.53768e-15,0.355242,0.805579,0.329783,0.772942,0.331597,2.06542,0.354156,0.3571605
87,0.0,0.0645617,8.97546e-15,1.4629,1.40167e-14,0.332738,4.76217e-15,1.67722,9.77764e-15,0.3595925,0.817566,0.334213,0.793404,0.336313,2.11709,0.359035,0.366158
88,0.0,0.0762204,1.961e-15,1.52459,5.40394e-15,0.318754,6.21171e-15,1.71806,2.39927e-14,0.362663,0.829854,0.33841,0.828925,0.340709,2.16588,0.362274,0.380204
89,0.0,0.0802447,8.4062e-15,1.56659,1.2409355e-14,0.329335,1.67754e-15,1.80408,1.01244e-14,0.363888,0.844638,0.342243,0.854452,0.344636,2.237705,0.363351,0.394894
90,0.0,0.0872282,3.07554e-15,1.61386,1.95416e-14,0.338709,7.24521e-15,1.88704,3.33942e-15,0.364585,0.8659225,0.3470445,0.895197,0.348024,2.31009,0.363814,0.399284
91,0.0,0.0884088,2.575825e-15,1.66964,1.1152e-14,0.335025,1.02608e-14,1.93482,3.80818e-15,0.3648895,0.88399,0.3507,0.92811,0.350717,2.36442,0.363992,0.419842
92,0.0,0.0921037,4.96124e-15,1.717,7.61333e-15,0.341144,4.55946e-15,2.00842,4.2473e-15,0.365126,0.899847,0.352334,0.940051,0.352694,2.41772,0.364221,0.438067
93,0.0,0.0992966,1.16138e-15,1.76401,1.1968250000000001e-14,0.354628,1.066383e-14,2.05487,5.35117e-15,0.365548,0.910393,0.353359,0.9605995,0.353973,2.47447,0.364711,0.4490805
94,0.0,0.104881,2.41535e-15,1.81329,1.48833e-15,0.346349,2.23971e-15,2.11599,1.57859e-14,0.3670455,0.919547,0.353875,0.957501,0.354638,2.53501,0.365752,0.444804
95,0.0,0.108706,7.10228e-17,1.88882,1.02275e-16,0.351891,7.40599e-15,2.18474,7.54647e-15,0.369639,0.931529,0.354062,0.95314,0.354884,2.59436,0.367532,0.448708
96,0.0,0.109414,4.84902e-15,1.95538,9.20085e-17,0.35199250000000004,1.94241e-14,2.27277,4.64032e-15,0.372215,0.936508,0.354224,0.926825,0.355057,2.69339,0.3717475,0.4532535
